  2.000000-23.048200-23.097400-19.688400-20.509600 -0.900150 -2.445470 -2.115613 -3.024650
  4.000000-24.423200-23.412300-18.566300-18.701800  0.507215 -1.298410 -2.901047 -3.488230
  6.000000-25.629200-23.829000-17.522900-16.482600  1.827251 -0.272960 -2.851367 -4.091850
  8.000000-27.027500-24.742400-16.764900-14.230200  3.018698  0.477075 -2.783320 -4.118770
 10.000000-28.517700-25.906500-16.107200-12.286000  3.931633  1.188335 -2.663915 -3.862710
 12.000000-29.854800-26.844300-15.363100-10.528400  4.570305  1.887512 -2.503261 -3.465490
 16.000000-30.642200-28.017500-14.253800 -6.869150  5.002050  2.480621 -2.218266 -2.542470
 18.000000-30.058000-28.131000-13.931600 -4.912230  4.822697  2.126955 -2.052568 -2.046310
 20.000000-30.319800-27.862000-13.881100 -2.804730  4.907716  1.415069 -1.951153 -1.573460
 23.000000-31.704500-26.534600-13.890800  0.611266  5.229325 -0.185930 -1.748073 -0.942190
 25.000000-32.235400-24.785400-14.468700  3.081607  5.546373 -1.386890 -1.959094 -0.566300
 -4.000000-34.936900-36.544300-49.135800-44.759200  7.203176  5.318531 10.152157  9.865737
 -2.000000-37.879800-39.338300-45.418400-43.343700  7.172566  6.434714  8.795128  8.710383
  0.000000-41.406100-41.631500-41.553200-41.488700  7.721672  7.540023  7.678805  7.489057
  2.000000-45.234200-43.443500-38.011300-39.231700  8.819463  8.715923  7.146726  6.375404
  4.000000-48.969600-44.804500-34.982000-36.428900 10.146440  9.801213  7.172532  5.267590
  6.000000-52.501300-46.117200-32.535800-33.169700 11.193280 10.913270  7.639792  4.018889
  8.000000-56.012400-47.531500-30.598300-29.763400 11.854340 12.101690  8.251837  2.810060
 10.000000-59.649200-48.887400-29.154000-26.355700 12.292090 13.255770  8.783365  1.735458
 12.000000-63.281500-49.978300-28.170600-22.883900 12.592860 14.197770  9.102003  0.806967
 16.000000-70.145300-50.043800-27.594300-15.451800 12.770120 14.652700  9.437868 -0.434135
 18.000000-72.906100-48.878800-27.879600-11.332400 12.970920 14.226630  9.285582 -0.847694
 20.000000-74.959800-47.156300-28.445700 -6.820170 13.707470 13.475370  8.735603 -1.137113
 23.000000-77.392200-43.569500-29.062000  0.373037 15.381430 12.048650  6.862138 -1.419750
 25.000000-77.361500-40.630500-28.660600  5.446505 17.843700 11.101410  4.855013 -1.547046
 -4.000000  8.417469  8.931233  6.323382  6.406110  0.639566  0.548355  1.151938  0.881342
 -2.000000  8.039349  8.226794  6.974325  6.882178  0.740744  0.720710  1.050654  0.868806
  0.000000  7.581689  7.476979  7.492693  7.498149  0.868952  0.833623  0.929148  0.783778
  2.000000  7.029195  6.896864  7.934694  8.227686  0.976754  0.898362  0.792356  0.685076
  4.000000  6.342098  6.439197  8.328228  8.951563  1.069381  0.933272  0.688498  0.553821
  6.000000  5.562056  6.079278  8.714268  9.567816  1.187200  0.960666  0.609359  0.300317
  8.000000  4.840715  5.798633  9.179186 10.158390  1.262637  0.990070  0.536646 -0.066450
 10.000000  4.226205  5.506310  9.633892 10.635980  1.240606  1.013302  0.456573 -0.381574
 12.000000  3.621417  5.206301 10.029280 11.065410  1.151071  1.018839  0.361268 -0.642530
 16.000000  2.320765  4.831091 10.663340 11.733260  0.860444  1.021825  0.298721 -0.986194
 18.000000  1.615577  4.776217 10.815270 11.957350  0.684621  1.016015  0.378364 -1.104134
 20.000000  0.873261  4.821398 10.775820 12.104900  0.508141  1.009304  0.525339 -1.221988
 23.000000 -0.316940  5.061189 10.255500 12.317290  0.270332  1.001258  0.800629 -1.503379
 25.000000 -1.179480  5.291680  9.576758 12.455380  0.121498  0.993356  0.965703 -1.769896
 -4.000000 17.045130 17.985310 13.279000 13.301340  0.951057  0.179134  2.352892  1.493469
 -2.000000 16.227550 16.692510 14.496950 14.229380  1.039609  0.800067  1.842904  1.442949
  0.000000 15.557480 15.353720 15.437010 15.400680  1.357825  1.165298  1.545558  1.102387
  2.000000 14.581150 14.205770 16.183110 16.731930  1.671190  1.469771  1.189694  0.729123
  4.000000 13.337930 13.305260 16.859130 18.071290  2.022062  1.607773  0.915117  0.262377
  6.000000 11.674110 12.581340 17.521000 19.097920  2.330577  1.751340  0.594051 -0.590475
  8.000000 10.142270 12.017740 18.421490 20.166480  2.580696  1.844623  0.309352 -1.521301
 10.000000  8.840034 11.496250 19.269080 21.212440  2.584799  1.911195 -0.011690 -2.151147
 12.000000  7.595915 10.951070 19.987980 22.050150  2.400789  1.942419 -0.382320 -2.609935
 16.000000  4.926856 10.208690 21.033910 23.417940  1.803621  1.899099 -0.714730 -3.135736
 18.000000  3.476561 10.063880 21.289400 23.585030  1.448245  1.827013 -0.441190 -3.248194
 20.000000  1.943005 10.093640 21.151760 23.467920  1.096243  1.729349 -0.019890 -3.311727
 23.000000 -0.525160 10.463830 19.987440 23.791010  0.613682  1.645552  0.796919 -3.598518
 25.000000 -2.321440 10.796050 18.553330 24.329370  0.327533  1.653470  1.321513 -3.830670
 -4.000000 22.433740 24.206240 18.648390 18.527130  0.296683 -0.514780  3.778677  2.929337
 -2.000000 22.024340 22.615790 20.550420 19.905200  2.785990  0.352506  2.418152  2.894050
  0.000000 21.720080 21.042420 21.891290 21.805580  2.194004  1.673134  2.923649  2.664140
  2.000000 20.414000 19.598000 22.737230 22.994250  2.816819  2.264018  2.260238  0.769943
  4.000000 18.668530 18.406010 22.640020 24.383550  3.276650  2.354960  0.585037 -0.499218
  6.000000 16.485610 17.514400 23.455890 25.655820  3.919412  2.934421 -0.030710 -1.832810
  8.000000 14.226860 16.764580 24.503760 27.057480  3.950415  2.852737 -0.545990 -3.058420
 10.000000 12.312680 16.101800 25.546060 28.556670  3.747706  2.726848 -1.257910 -3.970167
 12.000000 10.548380 15.416380 26.326220 29.701330  3.376260  2.554023 -2.069320 -4.589584
 16.000000  6.846583 14.093040 27.494070 31.225970  2.483463  2.217269 -2.661200 -5.269606
 18.000000  4.882653 13.671220 27.676480 30.978690  1.995076  2.004251 -2.269650 -5.191516
 20.000000  2.788160 13.655080 27.494790 31.028970  1.524540  1.903161 -1.524630 -5.196929
