 3.3000    -0.3650118 0.7969943 -0.3866088  0.0000018 -0.0000871 -0.0003250  2.6921954 22191.3339844   0.5781405 1.5564672 -0.4600241  1.0693667 0.4587862 -0.4546995  -1.0500822 -1.6020211   -1.2157465 0.9576627 2.8041745
 3.3500    -0.3640689 0.7753490 -0.3836776  -0.0000063 -0.0000575 -0.0002819  2.6892208 22853.9707031   0.5711346 1.5359069 -0.4575875  1.1026576 0.4731376 -0.4673443  -1.0844822 -1.6592795   -1.2628743 1.0166903 2.8745403
 3.4000    -0.3631286 0.7537046 -0.3804753  -0.0000119 -0.0000319 -0.0002475  2.6858959 23526.0136719   0.5641759 1.5153177 -0.4548136  1.1341732 0.4866836 -0.4792249  -1.1171866 -1.7191246   -1.3116799 1.0782973 2.9441495
 3.4500    -0.3621925 0.7322341 -0.3770391  -0.0000152 -0.0000166 -0.0002356  2.6823045 24207.4433594   0.5573059 1.4948640 -0.4517387  1.1640028 0.4994564 -0.4903617  -1.1483035 -1.7819498   -1.3623233 1.1426965 3.0132876
 3.5000    -0.3612399 0.7122222 -0.3739678  -0.0000150 -0.0000645 -0.0003686  2.6792182 24855.3457031   0.5508216 1.4757712 -0.4490015  1.1892439 0.5101738 -0.4994495  -1.1749349 -1.8464285   -1.4130410 1.2087701 3.0781405
 3.5500    -0.3602661 0.7009179 -0.3752237  -0.0000200 -0.0004497 -0.0008874  2.6797425 25035.8535156   0.5466672 1.4649272 -0.4508071  1.1875479 0.5096778 -0.4968151  -1.1744057 -1.8878581   -1.4370217 1.2591574 3.0996071
 3.6000    -0.3593936 0.6880050 -0.3740604  -0.0000287 -0.0005261 -0.0011496  2.6744273 25217.0058594   0.5420363 1.4496366 -0.4494432  1.1842629 0.5090047 -0.4946029  -1.1715922 -1.9073196   -1.4488617 1.2914935 3.1075345
 3.6500    -0.3587388 0.6705980 -0.3698520  -0.0000440 -0.0002864 -0.0007060  2.6636131 25398.8710938   0.5367082 1.4295831 -0.4445327  1.1790655 0.5078688 -0.4926844  -1.1664820 -1.9101214   -1.4526435 1.3079581 3.1023633
 3.7000    -0.3588002 0.6514239 -0.3641802  -0.0000613 -0.0000185 -0.0000583  2.6466988 25581.4492188   0.5319167 1.4078233 -0.4379342  1.1724043 0.5063077 -0.4906119  -1.1601850 -1.9104929   -1.4540961 1.3194781 3.0894362
 3.7500    -0.3588784 0.6335242 -0.3582639  -0.0000645 0.0001067 0.0003318  2.6304439 25764.6894531   0.5274572 1.3874465 -0.4310069  1.1654972 0.5045065 -0.4882820  -1.1543392 -1.9212240   -1.4603376 1.3358070 3.0770931
 3.8000    -0.3588091 0.6183447 -0.3525727  -0.0000547 0.0000902 0.0003520  2.6173018 25948.5703125   0.5234435 1.3700096 -0.4242996  1.1594684 0.5027654 -0.4859532  -1.1499816 -1.9445524   -1.4735772 1.3592177 3.0701157
 3.8500    -0.3586956 0.6055407 -0.3469896  -0.0000400 0.0000140 0.0001557  2.6064882 26133.0683594   0.5199293 1.3551897 -0.4176993  1.1547145 0.5012973 -0.4839191  -1.1471939 -1.9753556   -1.4915411 1.3865180 3.0681586
 3.9000    -0.3586285 0.5939240 -0.3412176  -0.0000265 -0.0000465 -0.0000440  2.5963332 26318.1503906   0.5167724 1.3417134 -0.4108729  1.1509712 0.5001471 -0.4823079  -1.1454433 -2.0071424   -1.5105331 1.4133187 3.0681218
 3.9500    -0.3586398 0.5825196 -0.3351216  -0.0000165 -0.0000657 -0.0001290  2.5856251 26503.7988281   0.5138030 1.3285020 -0.4036642  1.1477387 0.4992399 -0.4810555  -1.1441208 -2.0362409   -1.5280666 1.4372813 3.0673182
 4.0000    -0.3587124 0.5710421 -0.3287752  -0.0000101 -0.0000527 -0.0001141  2.5741380 26662.6718750   0.5109331 1.3152123 -0.3961576  1.1446573 0.4984514 -0.4800005  -1.1428632 -2.0625205   -1.5439597 1.4587723 3.0653424
 4.0500    -0.3588123 0.5596951 -0.3223627  -0.0000058 -0.0000258 -0.0000807  2.5622902 26849.2988281   0.5081541 1.3020383 -0.3885697  1.1415837 0.4976594 -0.4789891  -1.1415513 -2.0877058   -1.5595589 1.4794834 3.0634894
 4.1000    -0.3589235 0.5484891 -0.3161834  -0.0000008 -0.0000405 -0.0000066  2.5501338 27036.4667969   0.5054648 1.2890029 -0.3812381  1.1385830 0.4970223 -0.4780457  -1.1404180 -2.1124556   -1.5734290 1.4995737 3.0600022
