 3.2500000    1.8849555 0.6859636 38.0149384   	-5.9527674 186.7272339 19.7587032    0.1892859 0.1479345 0.0493791
 3.3000000    1.8849555 0.6859651 39.0140152   	-6.2274866 189.5198212 20.2538719    0.1885434 0.1502542 0.0503326
 3.3500000    1.8849554 0.6859666 40.0378532   	-6.5082641 192.3108826 20.7492371    0.1877549 0.1525822 0.0512805
 3.4000000    1.8849553 0.6859681 41.0864525   	-6.7950473 195.1004944 21.2441196    0.1869298 0.1548028 0.0522279
 3.4500000    1.8849553 0.6859697 42.1597748   	-7.0878367 197.8887329 21.7379456    0.1860759 0.1568290 0.0531796
 3.5000000    1.8849552 0.6859712 43.2577553   	-7.3773761 200.5041962 22.1980267    0.1851958 0.1586028 0.0541393
 3.5500000    1.8849551 0.6859728 44.3700066   	-7.5691338 201.2331238 22.3017941    0.1842289 0.1601113 0.0550897
 3.6000000    1.8849550 0.6859744 45.4873581   	-7.7634258 201.9623871 22.4013805    0.1830342 0.1613274 0.0559715
 3.6500000    1.8849550 0.6859760 46.6095505   	-7.9589772 202.6925659 22.4942150    0.1815654 0.1620838 0.0567747
 3.7000000    1.8849549 0.6859776 47.7361794   	-8.1549587 203.4240112 22.5776558    0.1799330 0.1621184 0.0575382
 3.7500000    1.8849548 0.6859792 48.8667564   	-8.3512621 204.1565399 22.6511250    0.1783009 0.1611623 0.0583018
 3.8000000    1.8849547 0.6859808 50.0007973   	-8.5481071 204.8899841 22.7156487    0.1767702 0.1591500 0.0590819
 3.8500000    1.8849546 0.6859824 51.1378899   	-8.7457170 205.6240540 22.7726593    0.1753478 0.1562222 0.0598745
 3.9000000    1.8849545 0.6859840 52.2776833   	-8.9441490 206.3585205 22.8230782    0.1739835 0.1526049 0.0606688
 3.9500000    1.8849544 0.6859857 53.4198570   	-9.1433210 207.0932770 22.8671074    0.1726249 0.1485116 0.0614569
 4.0000000    1.8849544 0.6859874 54.8754463   	-9.2796993 207.7227020 22.9376431    0.1712483 0.1441032 0.0622368
 4.0500000    1.8849543 0.6859891 56.0230484   	-9.4800024 208.4579620 22.9683456    0.1698550 0.1394845 0.0630119
 4.1000000    1.8849542 0.6859907 57.1720314   	-9.6808538 209.1934814 22.9922466    0.1684556 0.1347308 0.0637859
 4.1500000    1.8849541 0.6859924 58.3220596   	-9.8822985 209.9291534 23.0094719    0.1670673 0.1299242 0.0645527
 4.2000000    1.8849540 0.6859940 59.4728012   	-10.0842762 210.6649323 23.0203285    0.1656988 0.1251331 0.0653039
 4.2500000    1.8849539 0.6859957 60.6239510   	-10.2866411 211.4007111 23.0251160    0.1643480 0.1203999 0.0660331
 4.3000000    1.8849538 0.6859973 61.7752075   	-10.4892101 212.1364441 23.0240498    0.1630085 0.1157421 0.0667376
 4.3500000    1.8849537 0.6859990 62.9262810   	-10.6917896 212.8720703 23.0172653    0.1616755 0.1111590 0.0674174
 4.4000000    1.8849535 0.6860007 64.0768890   	-10.8942099 213.6075439 23.0048656    0.1603483 0.1066402 0.0680741
 4.4500000    1.8849534 0.6860024 65.2267532   	-11.0963182 214.3428345 22.9869804    0.1590282 0.1021746 0.0687098
 4.5000000    1.8849533 0.6860041 66.3755951   	-11.2979898 215.0779114 22.9637508    0.1577163 0.0977543 0.0693264
 4.5500000    1.8849532 0.6860057 67.5231247   	-11.4971809 215.8121643 22.9327221    0.1565876 0.0924844 0.0700607
 4.6000000    1.8849531 0.6860074 68.6690063   	-11.6985626 216.5449066 22.8997746    0.1559607 0.0850042 0.0711496
 4.6500000    1.8849530 0.6860091 69.8133316   	-11.9065332 217.2755280 22.8712330    0.1554681 0.0772885 0.0723458
 4.7000000    1.8849529 0.6860109 70.9563065   	-12.1198721 218.0040131 22.8451672    0.1547261 0.0710576 0.0734129
 4.7500000    1.8849527 0.6860126 72.0979462   	-12.3359327 218.7309875 22.8170700    0.1536557 0.0666615 0.0742835
 4.8000000    1.8849526 0.6860143 73.2380829   	-12.5526180 219.4571228 22.7838097    0.1523868 0.0636206 0.0749877
 4.8500000    1.8849525 0.6860160 74.3764114   	-12.7686853 220.1827698 22.7445774    0.1510801 0.0612817 0.0755741
 4.9000000    1.8849523 0.6860178 75.5126572   	-12.9833965 220.9080048 22.7000141    0.1498284 0.0591516 0.0760759
 4.9500000    1.8849522 0.6860195 76.6465759   	-13.1961985 221.6327667 22.6510906    0.1486500 0.0569563 0.0765098
 5.0000000    1.8849521 0.6860212 77.7656784   	-13.4050493 222.3473663 22.5758972    0.1475250 0.0545801 0.0768854
 5.0500000    1.8849519 0.6860230 78.8932495   	-13.6004152 223.0739288 22.5207176    0.1474345 0.0520422 0.0605435
 5.1000000    1.8849518 0.6860248 80.0179825   	-13.7925787 223.7998352 22.4623165    0.1463497 0.0492402 0.0608367
 5.1500000    1.8849517 0.6860265 81.1397247   	-13.9813652 224.5251007 22.4007378    0.1452680 0.0462647 0.0611056
 5.2000000    1.8849515 0.6860283 82.2583160   	-14.1666813 225.2497101 22.3360004    0.1441849 0.0431643 0.0613585
 5.2500000    1.8849514 0.6860301 83.3736038   	-14.3485231 225.9736481 22.2681141    0.1430975 0.0399883 0.0616029
 5.3000000    1.8849512 0.6860318 84.4854202   	-14.5269594 226.6969147 22.1970806    0.1420029 0.0367840 0.0618452
 5.3500000    1.8849511 0.6860336 85.5936203   	-14.7021255 227.4194794 22.1228828    0.1408981 0.0335953 0.0620902
 5.4000000    1.8849509 0.6860354 86.6980362   	-14.8742008 228.1412964 22.0454731    0.1397803 0.0304611 0.0623418
 5.4500000    1.8849508 0.6860372 87.7985077   	-15.0433922 228.8624115 21.9647961    0.1386472 0.0274142 0.0626025
 5.5000000    1.8849506 0.6860390 88.8948746   	-15.2099295 229.5827637 21.8807678    0.1374971 0.0244806 0.0628738
 5.5500000    1.8849505 0.6860408 89.9869537   	-15.3740511 230.3022919 21.7933044    0.1363294 0.0216795 0.0631569
